City_final,Latitude,Longitude
Heusweiler,49.3385074,6.9298799
Elze,52.1190302,9.7369863
Borken,51.8444777,6.8583277
Pyrbaum,49.2983403,11.2896933
Porta Westfalica,52.2394431,8.924762
Wülfrath,51.2818569,7.0328063
Volgodonsk,47.5182668,42.1525935
Müllrose,52.2468189,14.4181081
Burgas,42.4936616,27.4721276
Hüttisheim,48.2795369,9.9410539
Königslutter am Elm,52.2499307,10.8171691
Melsungen,51.1425944,9.5833158
Bitterfeld-Wolfen,51.6425032,12.3076334
Uhldingen-Mühlhofen,47.7348858,9.2400277
Freudenstadt,48.4637727,8.4111727
Engelskirchen,50.9872964,7.4084206
Heppenheim an der Bergstrasse,49.6527945,8.6366306
Nürtingen,48.6265854,9.3365463
Roth,49.1952934,11.0566523
Sasbach,48.6390302,8.0924882
Malchin,53.7382631,12.7644198
Schmölln,50.8971549,12.3520022
Langenfeld,51.1008952,6.9459377
Mie,34.7339685,136.5154489
Holzminden,51.8989989,9.5741099
Gröbenzell,48.1942336,11.370911
Mettmann,51.2527778,6.9777778
Karben,50.2313417,8.7717673
Baden-Baden,48.7610716,8.239959
Dubai,25.0742823,55.1885387
Miltenberg,49.7017584,9.2559718
Wetter,51.3879463,7.3951553
Garbsen,52.4276606,9.6005102
Kirchheim bei München,48.1806379,11.7529851
Prenzlau,53.3167,13.866575
Od,-19.9424962,18.395886
Stuttgart Feuerbach,48.8135332,9.1694086
Strážná,49.9113999,16.7107615
Altlandsberg,52.5936006,13.7760013
Schwäbisch Gmünd,48.7999036,9.7977584
Boppard,50.2312823,7.5885884
Wertheim,49.7599825,9.5166598
Sindelfingen,48.7084162,9.0035455
Pirmasens,49.1996961,7.6087847
Rosbach vor der Höhe,50.2990872,8.6967275
Neuenrade,51.2831254,7.7830374
Kaufbeuren,47.8803788,10.622246
Osterhofen,48.7019635,13.0201434
Rotenburg,53.1108906,9.4049292
Hofheim am Taunus,50.09494,8.42285
Bretten,47.7013731,7.0684157
Oerlinghausen,51.9492295,8.673579
Lampertheim,48.6503574,7.7003567
Weil der Stadt,48.7501041,8.8707147
Wolfhagen,51.3333355,9.1968854
Plauen,50.4950632,12.1346523
Sulzbach,48.0356915,7.2011423
Herzberg am Harz,51.6565219,10.3428415
Biberach an der Riß,48.0984413,9.7899938
Schmallenberg,51.1525937,8.2836014
Gelsenkirchen,51.5110321,7.0960124
Salzgitter,52.1503721,10.3593147
Isernhagen Farster Bauerschaft,52.4734987,9.8590677
